image$caption
synthetic_image_1.png$[{'name': 'green', 'keypoint': {'x': 298, 'y': 428}}, {'name': 'green', 'keypoint': {'x': 117, 'y': 413}}, {'name': 'orange', 'keypoint': {'x': 426, 'y': 619}}, {'name': 'blue', 'keypoint': {'x': 87, 'y': 367}}, {'name': 'green', 'keypoint': {'x': 240, 'y': 366}}, {'name': 'blue', 'keypoint': {'x': 430, 'y': 476}}, {'name': 'green', 'keypoint': {'x': 157, 'y': 374}}, {'name': 'blue', 'keypoint': {'x': 25, 'y': 457}}, {'name': 'green', 'keypoint': {'x': 424, 'y': 371}}, {'name': 'green', 'keypoint': {'x': 401, 'y': 475}}]
synthetic_image_12.png$[{'name': 'orange', 'keypoint': {'x': 552, 'y': 407}}, {'name': 'green', 'keypoint': {'x': 613, 'y': 622}}, {'name': 'orange', 'keypoint': {'x': 569, 'y': 361}}, {'name': 'yellow', 'keypoint': {'x': 221, 'y': 519}}, {'name': 'orange', 'keypoint': {'x': 196, 'y': 596}}, {'name': 'orange', 'keypoint': {'x': 697, 'y': 429}}, {'name': 'orange', 'keypoint': {'x': 268, 'y': 576}}, {'name': 'green', 'keypoint': {'x': 39, 'y': 431}}, {'name': 'orange', 'keypoint': {'x': 152, 'y': 550}}, {'name': 'green', 'keypoint': {'x': 358, 'y': 382}}]
synthetic_image_13.png$[{'name': 'blue', 'keypoint': {'x': 625, 'y': 425}}, {'name': 'orange', 'keypoint': {'x': 658, 'y': 455}}, {'name': 'blue', 'keypoint': {'x': 465, 'y': 417}}, {'name': 'orange', 'keypoint': {'x': 701, 'y': 596}}, {'name': 'orange', 'keypoint': {'x': 48, 'y': 382}}, {'name': 'blue', 'keypoint': {'x': 342, 'y': 584}}, {'name': 'blue', 'keypoint': {'x': 181, 'y': 365}}, {'name': 'yellow', 'keypoint': {'x': 383, 'y': 509}}, {'name': 'blue', 'keypoint': {'x': 264, 'y': 520}}, {'name': 'blue', 'keypoint': {'x': 152, 'y': 610}}]
synthetic_image_14.png$[{'name': 'orange', 'keypoint': {'x': 144, 'y': 365}}, {'name': 'yellow', 'keypoint': {'x': 606, 'y': 587}}, {'name': 'green', 'keypoint': {'x': 181, 'y': 372}}, {'name': 'green', 'keypoint': {'x': 392, 'y': 510}}, {'name': 'green', 'keypoint': {'x': 328, 'y': 592}}, {'name': 'green', 'keypoint': {'x': 540, 'y': 609}}, {'name': 'yellow', 'keypoint': {'x': 243, 'y': 509}}, {'name': 'orange', 'keypoint': {'x': 479, 'y': 466}}, {'name': 'blue', 'keypoint': {'x': 576, 'y': 543}}, {'name': 'green', 'keypoint': {'x': 601, 'y': 567}}]
synthetic_image_15.png$[{'name': 'yellow', 'keypoint': {'x': 210, 'y': 566}}, {'name': 'orange', 'keypoint': {'x': 484, 'y': 365}}, {'name': 'yellow', 'keypoint': {'x': 250, 'y': 530}}, {'name': 'green', 'keypoint': {'x': 150, 'y': 401}}, {'name': 'blue', 'keypoint': {'x': 529, 'y': 521}}, {'name': 'yellow', 'keypoint': {'x': 70, 'y': 380}}, {'name': 'blue', 'keypoint': {'x': 542, 'y': 404}}, {'name': 'green', 'keypoint': {'x': 497, 'y': 566}}, {'name': 'green', 'keypoint': {'x': 588, 'y': 461}}, {'name': 'blue', 'keypoint': {'x': 627, 'y': 460}}]
synthetic_image_16.png$[{'name': 'green', 'keypoint': {'x': 352, 'y': 370}}, {'name': 'yellow', 'keypoint': {'x': 88, 'y': 422}}, {'name': 'yellow', 'keypoint': {'x': 193, 'y': 419}}, {'name': 'orange', 'keypoint': {'x': 327, 'y': 415}}, {'name': 'orange', 'keypoint': {'x': 457, 'y': 548}}, {'name': 'green', 'keypoint': {'x': 13, 'y': 592}}, {'name': 'green', 'keypoint': {'x': 333, 'y': 566}}, {'name': 'yellow', 'keypoint': {'x': 141, 'y': 439}}, {'name': 'green', 'keypoint': {'x': 459, 'y': 423}}, {'name': 'green', 'keypoint': {'x': 677, 'y': 386}}]
synthetic_image_17.png$[{'name': 'yellow', 'keypoint': {'x': 443, 'y': 383}}, {'name': 'yellow', 'keypoint': {'x': 198, 'y': 427}}, {'name': 'orange', 'keypoint': {'x': 46, 'y': 493}}, {'name': 'orange', 'keypoint': {'x': 30, 'y': 530}}, {'name': 'yellow', 'keypoint': {'x': 265, 'y': 483}}, {'name': 'green', 'keypoint': {'x': 388, 'y': 521}}, {'name': 'blue', 'keypoint': {'x': 1, 'y': 374}}, {'name': 'blue', 'keypoint': {'x': 180, 'y': 378}}, {'name': 'blue', 'keypoint': {'x': 103, 'y': 496}}, {'name': 'orange', 'keypoint': {'x': 614, 'y': 623}}]
synthetic_image_18.png$[{'name': 'blue', 'keypoint': {'x': 72, 'y': 436}}, {'name': 'blue', 'keypoint': {'x': 538, 'y': 454}}, {'name': 'green', 'keypoint': {'x': 4, 'y': 584}}, {'name': 'orange', 'keypoint': {'x': 219, 'y': 436}}, {'name': 'green', 'keypoint': {'x': 352, 'y': 538}}, {'name': 'blue', 'keypoint': {'x': 608, 'y': 400}}, {'name': 'orange', 'keypoint': {'x': 489, 'y': 589}}, {'name': 'yellow', 'keypoint': {'x': 609, 'y': 489}}, {'name': 'green', 'keypoint': {'x': 660, 'y': 572}}, {'name': 'orange', 'keypoint': {'x': 294, 'y': 535}}]
synthetic_image_19.png$[{'name': 'yellow', 'keypoint': {'x': 502, 'y': 475}}, {'name': 'orange', 'keypoint': {'x': 478, 'y': 621}}, {'name': 'blue', 'keypoint': {'x': 128, 'y': 562}}, {'name': 'green', 'keypoint': {'x': 501, 'y': 617}}, {'name': 'green', 'keypoint': {'x': 298, 'y': 624}}, {'name': 'yellow', 'keypoint': {'x': 595, 'y': 588}}, {'name': 'green', 'keypoint': {'x': 566, 'y': 538}}, {'name': 'blue', 'keypoint': {'x': 577, 'y': 605}}, {'name': 'yellow', 'keypoint': {'x': 114, 'y': 364}}, {'name': 'blue', 'keypoint': {'x': 1, 'y': 399}}]
synthetic_image_20.png$[{'name': 'orange', 'keypoint': {'x': 316, 'y': 411}}, {'name': 'yellow', 'keypoint': {'x': 244, 'y': 378}}, {'name': 'yellow', 'keypoint': {'x': 713, 'y': 550}}, {'name': 'green', 'keypoint': {'x': 336, 'y': 414}}, {'name': 'green', 'keypoint': {'x': 376, 'y': 456}}, {'name': 'yellow', 'keypoint': {'x': 593, 'y': 511}}, {'name': 'blue', 'keypoint': {'x': 176, 'y': 478}}, {'name': 'yellow', 'keypoint': {'x': 567, 'y': 543}}, {'name': 'yellow', 'keypoint': {'x': 372, 'y': 370}}, {'name': 'orange', 'keypoint': {'x': 294, 'y': 627}}]
synthetic_image_21.png$[{'name': 'orange', 'keypoint': {'x': 253, 'y': 417}}, {'name': 'blue', 'keypoint': {'x': 613, 'y': 413}}, {'name': 'green', 'keypoint': {'x': 194, 'y': 449}}, {'name': 'yellow', 'keypoint': {'x': 476, 'y': 478}}, {'name': 'green', 'keypoint': {'x': 480, 'y': 457}}, {'name': 'orange', 'keypoint': {'x': 414, 'y': 575}}, {'name': 'blue', 'keypoint': {'x': 321, 'y': 429}}, {'name': 'yellow', 'keypoint': {'x': 418, 'y': 631}}, {'name': 'blue', 'keypoint': {'x': 82, 'y': 601}}, {'name': 'blue', 'keypoint': {'x': 215, 'y': 500}}]
synthetic_image_22.png$[{'name': 'yellow', 'keypoint': {'x': 343, 'y': 412}}, {'name': 'green', 'keypoint': {'x': 401, 'y': 585}}, {'name': 'green', 'keypoint': {'x': 470, 'y': 585}}, {'name': 'blue', 'keypoint': {'x': 539, 'y': 498}}, {'name': 'green', 'keypoint': {'x': 364, 'y': 483}}, {'name': 'orange', 'keypoint': {'x': 242, 'y': 633}}, {'name': 'blue', 'keypoint': {'x': 222, 'y': 432}}, {'name': 'blue', 'keypoint': {'x': 184, 'y': 624}}, {'name': 'orange', 'keypoint': {'x': 21, 'y': 557}}, {'name': 'green', 'keypoint': {'x': 205, 'y': 499}}]
synthetic_image_23.png$[{'name': 'green', 'keypoint': {'x': 656, 'y': 604}}, {'name': 'blue', 'keypoint': {'x': 606, 'y': 587}}, {'name': 'green', 'keypoint': {'x': 13, 'y': 488}}, {'name': 'orange', 'keypoint': {'x': 643, 'y': 564}}, {'name': 'green', 'keypoint': {'x': 599, 'y': 622}}, {'name': 'yellow', 'keypoint': {'x': 107, 'y': 571}}, {'name': 'orange', 'keypoint': {'x': 12, 'y': 455}}, {'name': 'blue', 'keypoint': {'x': 592, 'y': 470}}, {'name': 'yellow', 'keypoint': {'x': 710, 'y': 593}}, {'name': 'yellow', 'keypoint': {'x': 172, 'y': 597}}]
synthetic_image_24.png$[{'name': 'green', 'keypoint': {'x': 42, 'y': 524}}, {'name': 'blue', 'keypoint': {'x': 534, 'y': 369}}, {'name': 'blue', 'keypoint': {'x': 620, 'y': 413}}, {'name': 'orange', 'keypoint': {'x': 695, 'y': 417}}, {'name': 'blue', 'keypoint': {'x': 279, 'y': 485}}, {'name': 'blue', 'keypoint': {'x': 382, 'y': 440}}, {'name': 'orange', 'keypoint': {'x': 623, 'y': 394}}, {'name': 'orange', 'keypoint': {'x': 392, 'y': 439}}, {'name': 'green', 'keypoint': {'x': 151, 'y': 596}}, {'name': 'orange', 'keypoint': {'x': 396, 'y': 410}}]
synthetic_image_25.png$[{'name': 'blue', 'keypoint': {'x': 118, 'y': 442}}, {'name': 'green', 'keypoint': {'x': 602, 'y': 360}}, {'name': 'yellow', 'keypoint': {'x': 495, 'y': 503}}, {'name': 'yellow', 'keypoint': {'x': 602, 'y': 609}}, {'name': 'orange', 'keypoint': {'x': 642, 'y': 388}}, {'name': 'blue', 'keypoint': {'x': 254, 'y': 554}}, {'name': 'yellow', 'keypoint': {'x': 425, 'y': 417}}, {'name': 'green', 'keypoint': {'x': 41, 'y': 374}}, {'name': 'green', 'keypoint': {'x': 635, 'y': 374}}, {'name': 'orange', 'keypoint': {'x': 654, 'y': 366}}]
synthetic_image_26.png$[{'name': 'green', 'keypoint': {'x': 304, 'y': 602}}, {'name': 'yellow', 'keypoint': {'x': 681, 'y': 628}}, {'name': 'orange', 'keypoint': {'x': 483, 'y': 487}}, {'name': 'green', 'keypoint': {'x': 540, 'y': 633}}, {'name': 'orange', 'keypoint': {'x': 511, 'y': 556}}, {'name': 'green', 'keypoint': {'x': 425, 'y': 421}}, {'name': 'green', 'keypoint': {'x': 609, 'y': 630}}, {'name': 'blue', 'keypoint': {'x': 620, 'y': 619}}, {'name': 'yellow', 'keypoint': {'x': 555, 'y': 390}}, {'name': 'yellow', 'keypoint': {'x': 478, 'y': 381}}]
synthetic_image_27.png$[{'name': 'yellow', 'keypoint': {'x': 595, 'y': 491}}, {'name': 'yellow', 'keypoint': {'x': 48, 'y': 461}}, {'name': 'yellow', 'keypoint': {'x': 52, 'y': 576}}, {'name': 'green', 'keypoint': {'x': 144, 'y': 607}}, {'name': 'green', 'keypoint': {'x': 548, 'y': 585}}, {'name': 'yellow', 'keypoint': {'x': 458, 'y': 407}}, {'name': 'orange', 'keypoint': {'x': 120, 'y': 623}}, {'name': 'yellow', 'keypoint': {'x': 350, 'y': 422}}, {'name': 'blue', 'keypoint': {'x': 415, 'y': 381}}, {'name': 'green', 'keypoint': {'x': 345, 'y': 593}}]
synthetic_image_28.png$[{'name': 'green', 'keypoint': {'x': 538, 'y': 396}}, {'name': 'green', 'keypoint': {'x': 455, 'y': 576}}, {'name': 'green', 'keypoint': {'x': 101, 'y': 420}}, {'name': 'yellow', 'keypoint': {'x': 122, 'y': 578}}, {'name': 'orange', 'keypoint': {'x': 11, 'y': 436}}, {'name': 'blue', 'keypoint': {'x': 74, 'y': 479}}, {'name': 'orange', 'keypoint': {'x': 6, 'y': 580}}, {'name': 'blue', 'keypoint': {'x': 147, 'y': 559}}, {'name': 'blue', 'keypoint': {'x': 498, 'y': 449}}, {'name': 'green', 'keypoint': {'x': 592, 'y': 448}}]
synthetic_image_29.png$[{'name': 'yellow', 'keypoint': {'x': 226, 'y': 502}}, {'name': 'green', 'keypoint': {'x': 527, 'y': 523}}, {'name': 'yellow', 'keypoint': {'x': 122, 'y': 625}}, {'name': 'green', 'keypoint': {'x': 327, 'y': 514}}, {'name': 'yellow', 'keypoint': {'x': 227, 'y': 560}}, {'name': 'yellow', 'keypoint': {'x': 605, 'y': 402}}, {'name': 'orange', 'keypoint': {'x': 676, 'y': 377}}, {'name': 'blue', 'keypoint': {'x': 149, 'y': 399}}, {'name': 'yellow', 'keypoint': {'x': 545, 'y': 403}}, {'name': 'orange', 'keypoint': {'x': 393, 'y': 369}}]
synthetic_image_30.png$[{'name': 'blue', 'keypoint': {'x': 681, 'y': 515}}, {'name': 'green', 'keypoint': {'x': 699, 'y': 422}}, {'name': 'green', 'keypoint': {'x': 253, 'y': 462}}, {'name': 'orange', 'keypoint': {'x': 533, 'y': 543}}, {'name': 'orange', 'keypoint': {'x': 698, 'y': 470}}, {'name': 'yellow', 'keypoint': {'x': 253, 'y': 542}}, {'name': 'green', 'keypoint': {'x': 625, 'y': 439}}, {'name': 'blue', 'keypoint': {'x': 478, 'y': 601}}, {'name': 'yellow', 'keypoint': {'x': 484, 'y': 584}}, {'name': 'yellow', 'keypoint': {'x': 361, 'y': 387}}]
synthetic_image_31.png$[{'name': 'green', 'keypoint': {'x': 251, 'y': 457}}, {'name': 'green', 'keypoint': {'x': 114, 'y': 613}}, {'name': 'yellow', 'keypoint': {'x': 556, 'y': 549}}, {'name': 'orange', 'keypoint': {'x': 21, 'y': 457}}, {'name': 'yellow', 'keypoint': {'x': 294, 'y': 434}}, {'name': 'green', 'keypoint': {'x': 566, 'y': 580}}, {'name': 'yellow', 'keypoint': {'x': 392, 'y': 634}}, {'name': 'green', 'keypoint': {'x': 280, 'y': 484}}, {'name': 'blue', 'keypoint': {'x': 414, 'y': 450}}, {'name': 'green', 'keypoint': {'x': 605, 'y': 420}}]
synthetic_image_32.png$[{'name': 'yellow', 'keypoint': {'x': 122, 'y': 439}}, {'name': 'orange', 'keypoint': {'x': 39, 'y': 480}}, {'name': 'orange', 'keypoint': {'x': 33, 'y': 423}}, {'name': 'green', 'keypoint': {'x': 100, 'y': 631}}, {'name': 'green', 'keypoint': {'x': 61, 'y': 509}}, {'name': 'blue', 'keypoint': {'x': 617, 'y': 394}}, {'name': 'green', 'keypoint': {'x': 41, 'y': 404}}, {'name': 'blue', 'keypoint': {'x': 382, 'y': 466}}, {'name': 'yellow', 'keypoint': {'x': 588, 'y': 608}}, {'name': 'orange', 'keypoint': {'x': 460, 'y': 377}}]
synthetic_image_33.png$[{'name': 'orange', 'keypoint': {'x': 137, 'y': 542}}, {'name': 'yellow', 'keypoint': {'x': 136, 'y': 404}}, {'name': 'orange', 'keypoint': {'x': 716, 'y': 485}}, {'name': 'yellow', 'keypoint': {'x': 622, 'y': 544}}, {'name': 'orange', 'keypoint': {'x': 113, 'y': 599}}, {'name': 'orange', 'keypoint': {'x': 709, 'y': 414}}, {'name': 'blue', 'keypoint': {'x': 378, 'y': 493}}, {'name': 'orange', 'keypoint': {'x': 379, 'y': 484}}, {'name': 'orange', 'keypoint': {'x': 617, 'y': 598}}, {'name': 'orange', 'keypoint': {'x': 21, 'y': 374}}]
synthetic_image_34.png$[{'name': 'green', 'keypoint': {'x': 33, 'y': 425}}, {'name': 'blue', 'keypoint': {'x': 649, 'y': 367}}, {'name': 'orange', 'keypoint': {'x': 98, 'y': 378}}, {'name': 'yellow', 'keypoint': {'x': 12, 'y': 482}}, {'name': 'yellow', 'keypoint': {'x': 233, 'y': 568}}, {'name': 'yellow', 'keypoint': {'x': 424, 'y': 436}}, {'name': 'green', 'keypoint': {'x': 705, 'y': 511}}, {'name': 'yellow', 'keypoint': {'x': 241, 'y': 462}}, {'name': 'yellow', 'keypoint': {'x': 174, 'y': 566}}, {'name': 'yellow', 'keypoint': {'x': 469, 'y': 478}}]
synthetic_image_35.png$[{'name': 'blue', 'keypoint': {'x': 135, 'y': 479}}, {'name': 'yellow', 'keypoint': {'x': 476, 'y': 501}}, {'name': 'orange', 'keypoint': {'x': 537, 'y': 457}}, {'name': 'blue', 'keypoint': {'x': 56, 'y': 587}}, {'name': 'orange', 'keypoint': {'x': 80, 'y': 422}}, {'name': 'yellow', 'keypoint': {'x': 488, 'y': 624}}, {'name': 'green', 'keypoint': {'x': 125, 'y': 409}}, {'name': 'orange', 'keypoint': {'x': 699, 'y': 438}}, {'name': 'green', 'keypoint': {'x': 356, 'y': 600}}, {'name': 'blue', 'keypoint': {'x': 478, 'y': 398}}]
synthetic_image_36.png$[{'name': 'yellow', 'keypoint': {'x': 45, 'y': 509}}, {'name': 'blue', 'keypoint': {'x': 141, 'y': 529}}, {'name': 'green', 'keypoint': {'x': 311, 'y': 557}}, {'name': 'blue', 'keypoint': {'x': 680, 'y': 590}}, {'name': 'green', 'keypoint': {'x': 477, 'y': 564}}, {'name': 'yellow', 'keypoint': {'x': 460, 'y': 609}}, {'name': 'orange', 'keypoint': {'x': 455, 'y': 590}}, {'name': 'blue', 'keypoint': {'x': 50, 'y': 419}}, {'name': 'yellow', 'keypoint': {'x': 284, 'y': 364}}, {'name': 'orange', 'keypoint': {'x': 346, 'y': 576}}]
synthetic_image_37.png$[{'name': 'blue', 'keypoint': {'x': 570, 'y': 439}}, {'name': 'blue', 'keypoint': {'x': 524, 'y': 422}}, {'name': 'yellow', 'keypoint': {'x': 420, 'y': 410}}, {'name': 'orange', 'keypoint': {'x': 197, 'y': 597}}, {'name': 'green', 'keypoint': {'x': 233, 'y': 372}}, {'name': 'green', 'keypoint': {'x': 685, 'y': 629}}, {'name': 'blue', 'keypoint': {'x': 624, 'y': 506}}, {'name': 'yellow', 'keypoint': {'x': 361, 'y': 561}}, {'name': 'green', 'keypoint': {'x': 80, 'y': 421}}, {'name': 'blue', 'keypoint': {'x': 54, 'y': 525}}]
synthetic_image_38.png$[{'name': 'yellow', 'keypoint': {'x': 158, 'y': 605}}, {'name': 'blue', 'keypoint': {'x': 703, 'y': 488}}, {'name': 'orange', 'keypoint': {'x': 638, 'y': 361}}, {'name': 'green', 'keypoint': {'x': 188, 'y': 413}}, {'name': 'yellow', 'keypoint': {'x': 710, 'y': 471}}, {'name': 'orange', 'keypoint': {'x': 547, 'y': 441}}, {'name': 'blue', 'keypoint': {'x': 71, 'y': 405}}, {'name': 'green', 'keypoint': {'x': 688, 'y': 512}}, {'name': 'blue', 'keypoint': {'x': 134, 'y': 600}}, {'name': 'blue', 'keypoint': {'x': 180, 'y': 381}}]
synthetic_image_39.png$[{'name': 'blue', 'keypoint': {'x': 373, 'y': 403}}, {'name': 'blue', 'keypoint': {'x': 254, 'y': 415}}, {'name': 'green', 'keypoint': {'x': 512, 'y': 374}}, {'name': 'blue', 'keypoint': {'x': 11, 'y': 405}}, {'name': 'orange', 'keypoint': {'x': 558, 'y': 464}}, {'name': 'blue', 'keypoint': {'x': 258, 'y': 464}}, {'name': 'blue', 'keypoint': {'x': 432, 'y': 380}}, {'name': 'blue', 'keypoint': {'x': 80, 'y': 515}}, {'name': 'yellow', 'keypoint': {'x': 483, 'y': 555}}, {'name': 'yellow', 'keypoint': {'x': 18, 'y': 598}}]
synthetic_image_40.png$[{'name': 'orange', 'keypoint': {'x': 628, 'y': 431}}, {'name': 'green', 'keypoint': {'x': 43, 'y': 587}}, {'name': 'blue', 'keypoint': {'x': 567, 'y': 543}}, {'name': 'blue', 'keypoint': {'x': 295, 'y': 528}}, {'name': 'blue', 'keypoint': {'x': 364, 'y': 584}}, {'name': 'blue', 'keypoint': {'x': 60, 'y': 434}}, {'name': 'blue', 'keypoint': {'x': 434, 'y': 571}}, {'name': 'blue', 'keypoint': {'x': 306, 'y': 408}}, {'name': 'yellow', 'keypoint': {'x': 141, 'y': 537}}, {'name': 'green', 'keypoint': {'x': 418, 'y': 517}}]
synthetic_image_41.png$[{'name': 'orange', 'keypoint': {'x': 59, 'y': 575}}, {'name': 'green', 'keypoint': {'x': 399, 'y': 480}}, {'name': 'blue', 'keypoint': {'x': 28, 'y': 544}}, {'name': 'orange', 'keypoint': {'x': 384, 'y': 561}}, {'name': 'yellow', 'keypoint': {'x': 532, 'y': 368}}, {'name': 'orange', 'keypoint': {'x': 24, 'y': 599}}, {'name': 'blue', 'keypoint': {'x': 90, 'y': 494}}, {'name': 'orange', 'keypoint': {'x': 58, 'y': 419}}, {'name': 'blue', 'keypoint': {'x': 313, 'y': 537}}, {'name': 'blue', 'keypoint': {'x': 347, 'y': 444}}]
